intent,query,response
greeting,hello,Hello! How can I help you today?
greeting,hi,Hello! How can I help you today?
greeting,hey there,Hello! How can I help you today?
greeting,good morning,Hello! How can I help you today?
greeting,good afternoon,Hello! How can I help you today?
greeting,howdy,Hello! How can I help you today?
greeting,greetings,Hello! How can I help you today?
greeting,what's up,Hello! How can I help you today?
greeting,hello there,Hello! How can I help you today?
greeting,hi there,Hello! How can I help you today?
farewell,goodbye,Goodbye! Have a great day!
farewell,bye,Goodbye! Have a great day!
farewell,see you later,Goodbye! Have a great day!
farewell,have a good day,Goodbye! Have a great day!
farewell,bye bye,Goodbye! Have a great day!
farewell,farewell,Goodbye! Have a great day!
farewell,take care,Goodbye! Have a great day!
farewell,until next time,Goodbye! Have a great day!
farewell,see ya,Goodbye! Have a great day!
farewell,cya,Goodbye! Have a great day!
thanks,thank you,You're welcome!
thanks,thanks,You're welcome!
thanks,appreciate it,You're welcome!
thanks,thanks a lot,You're welcome!
thanks,thank you so much,You're welcome!
thanks,thanks for your help,You're welcome!
thanks,thank you for the assistance,You're welcome!
thanks,much appreciated,You're welcome!
thanks,"that was helpful, thanks",You're welcome!
thanks,"great, thank you",You're welcome!
app_development,can you create a mobile app,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,I need an app developed,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,how much for app development,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,do you make iOS apps,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,can you build an Android application,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,looking for app developer,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,need someone to code an app,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,mobile application development,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,create an app for my business,"Yes, we specialize in mobile app development for both iOS and Android platforms."
app_development,app for my startup,"Yes, we specialize in mobile app development for both iOS and Android platforms."
web_development,I need a website,We offer comprehensive web development services from simple websites to complex applications.
web_development,can you build a web application,We offer comprehensive web development services from simple websites to complex applications.
web_development,looking for web developer,We offer comprehensive web development services from simple websites to complex applications.
web_development,ecommerce website development,We offer comprehensive web development services from simple websites to complex applications.
web_development,how much for a website,We offer comprehensive web development services from simple websites to complex applications.
web_development,create website for my company,We offer comprehensive web development services from simple websites to complex applications.
web_development,web app development,We offer comprehensive web development services from simple websites to complex applications.
web_development,responsive website creation,We offer comprehensive web development services from simple websites to complex applications.
web_development,need help with my website,We offer comprehensive web development services from simple websites to complex applications.
web_development,build me a web portal,We offer comprehensive web development services from simple websites to complex applications.
pricing,how much does it cost,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,what are your rates,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,pricing information,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,how much do you charge,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,send me a quote,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,pricing details,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,what's your hourly rate,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,project cost estimation,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,pricing for app development,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
pricing,how much for a website,Our pricing depends on the project requirements. We'd be happy to provide a detailed quote after understanding your needs.
contact,how can I contact you,You can reach us at contact@example.com or call us at (555) 123-4567.
